DATE,MONTH,DAY,YEAR,STATE,CASES,DEATHS
2021-01-09,1,9,2021,Virginia,393715,5381
2021-01-09,1,9,2021,Washington,275832,3775
2021-01-09,1,9,2021,West Virginia,99778,1570
2021-01-09,1,9,2021,Wisconsin,548134,5568
2021-01-09,1,9,2021,Wyoming,46719,489
2021-01-10,1,10,2021,Alabama,401900,5334
2021-01-10,1,10,2021,Alaska,49935,215
2021-01-10,1,10,2021,Arizona,618546,10141
2021-01-10,1,10,2021,Arkansas,255076,4043
2021-01-10,1,10,2021,California,2729858,30000
2021-01-10,1,10,2021,Colorado,363019,5279
2021-01-10,1,10,2021,Connecticut,205994,6324
2021-01-10,1,10,2021,Delaware,65273,972
2021-01-10,1,10,2021,District of Columbia,31791,817
2021-01-10,1,10,2021,Florida,1477002,22911
2021-01-10,1,10,2021,Georgia,732121,11097
2021-01-10,1,10,2021,Guam,8381,125
2021-01-10,1,10,2021,Hawaii,23300,306
2021-01-10,1,10,2021,Idaho,149742,1536
2021-01-10,1,10,2021,Illinois,1031288,19295
2021-01-10,1,10,2021,Indiana,566670,8985
2021-01-10,1,10,2021,Iowa,296682,4138
2021-01-10,1,10,2021,Kansas,245529,3148
2021-01-10,1,10,2021,Kentucky,306823,3224
2021-01-10,1,10,2021,Louisiana,346829,7873
2021-01-10,1,10,2021,Maine,29298,432
2021-01-10,1,10,2021,Maryland,306853,6272
2021-01-10,1,10,2021,Massachusetts,432791,13151
2021-01-10,1,10,2021,Michigan,559886,14134
2021-01-10,1,10,2021,Minnesota,436640,5775
2021-01-10,1,10,2021,Mississippi,239082,5167
2021-01-10,1,10,2021,Missouri,450886,6316
2021-01-10,1,10,2021,Montana,86324,1056
2021-01-10,1,10,2021,Nebraska,177001,1815
2021-01-10,1,10,2021,Nevada,248758,3470
2021-01-10,1,10,2021,New Hampshire,51600,869
2021-01-10,1,10,2021,New Jersey,584828,19886
2021-01-10,1,10,2021,New Mexico,156157,2751
2021-01-10,1,10,2021,New York,1135849,39208
2021-01-10,1,10,2021,North Carolina,623503,7609
2021-01-10,1,10,2021,North Dakota,94724,1360
2021-01-10,1,10,2021,Northern Mariana Islands,125,2
2021-01-10,1,10,2021,Ohio,777065,9627
2021-01-10,1,10,2021,Oklahoma,331362,2761
2021-01-10,1,10,2021,Oregon,125683,1607
2021-01-10,1,10,2021,Pennsylvania,725506,17780
2021-01-10,1,10,2021,Puerto Rico,116734,1630
2021-01-10,1,10,2021,Rhode Island,97614,1916
2021-01-10,1,10,2021,South Carolina,354525,5811
2021-01-10,1,10,2021,South Dakota,103318,1585
2021-01-10,1,10,2021,Tennessee,641123,7715
2021-01-10,1,10,2021,Texas,1966081,30599
2021-01-10,1,10,2021,Utah,305999,1393
2021-01-10,1,10,2021,Vermont,8967,156
